s002,0.1192,0.2416,0.0845,0.1522,0.0874,0.1559,0.0876,0.9214,0.0918,1.0385,0.1266,0.5316,0.1036,0.1714,0.1379,0.1593,0.0946,0.2479,0.0977,0.2957,0.0772
s003,0.1228,0.3034,0.1135,0.2545,0.1144,0.2988,0.1204,0.5691,0.0907,0.6514,0.1168,0.2604,0.1312,0.1882,0.1166,0.1708,0.0872,0.2224,0.1048,0.2894,0.095
s004,0.1051,0.3141,0.0828,0.1474,0.097,0.1458,0.0726,0.7809,0.0753,0.7939,0.1117,0.2212,0.0867,0.1387,0.1065,0.1452,0.082,0.2412,0.0969,0.3132,0.0825
s005,0.081,0.5873,0.1259,0.3277,0.091,0.3222,0.1257,0.6484,0.1101,0.9775,0.1305,0.5064,0.0945,0.3639,0.1444,0.3332,0.0686,0.525,0.0819,0.5273,0.1
s007,0.086,0.3398,0.0632,0.1317,0.0864,0.1975,0.0903,0.5081,0.0632,0.4723,0.0678,0.2565,0.0853,0.1671,0.0931,0.2088,0.1047,0.2176,0.092,0.5385,0.0923
s008,0.1193,0.4007,0.0945,0.1273,0.0876,0.1507,0.0932,0.5419,0.0847,0.3962,0.0992,0.1902,0.0942,0.0922,0.119,0.157,0.0873,0.2696,0.0809,0.2863,0.112
s010,0.0938,0.199,0.0662,0.1776,0.078,0.1656,0.0628,0.3839,0.0751,0.3967,0.0677,0.157,0.082,0.1622,0.0592,0.1313,0.078,0.2472,0.0827,0.3235,0.0631
s011,0.0939,0.2105,0.0964,0.1694,0.0983,0.2999,0.1003,0.5655,0.0841,0.5384,0.1147,0.2281,0.0814,0.1632,0.1435,0.163,0.1018,0.1703,0.0965,0.4216,0.097
s012,0.1782,0.5149,0.1282,0.1925,0.1529,0.1968,0.1412,0.7808,0.1221,0.5199,0.1378,0.2798,0.1389,0.1848,0.1385,0.2476,0.123,0.3568,0.1614,0.4901,0.1581
s013,0.081,0.3146,0.0646,0.1109,0.0806,0.1536,0.057,0.5223,0.0722,0.4392,0.0735,0.1235,0.0782,0.0966,0.0825,0.1279,0.07,0.2188,0.068,0.2562,0.0922
s015,0.0953,0.2484,0.0737,0.0983,0.0747,0.0936,0.0687,0.5062,0.0607,0.5213,0.0768,0.3918,0.0929,0.1828,0.0718,0.148,0.0867,0.1945,0.0787,0.2348,0.0581
s016,0.1216,0.4979,0.0646,0.2544,0.0934,0.2758,0.0838,0.9384,0.0628,1.0448,0.0892,0.3908,0.1071,0.4742,0.1027,0.4384,0.1136,0.3562,0.1144,0.4517,0.1031
s017,0.0694,0.2873,0.0471,0.0902,0.0473,0.128,0.0552,0.4803,0.0605,0.4692,0.0617,0.1867,0.0613,0.1319,0.0624,0.0797,0.0574,0.2242,0.0617,0.2434,0.0632
s018,0.0905,0.2125,0.0966,0.1423,0.077,0.168,0.073,0.6123,0.0986,0.5389,0.1028,0.3983,0.0847,0.3419,0.0956,0.1782,0.0918,0.3036,0.0928,0.2468,0.0839
s019,0.0678,0.4294,0.0883,0.3908,0.0631,0.2888,0.1139,0.5611,0.0839,0.9675,0.1288,0.3749,0.067,0.2527,0.1238,0.2823,0.0938,0.3688,0.0689,0.7987,0.0891
s020,0.1284,0.2312,0.0897,0.1051,0.1115,0.149,0.097,0.5143,0.0722,0.5847,0.1047,0.1838,0.1111,0.1308,0.1229,0.3049,0.1167,0.2212,0.1089,0.4834,0.1006
s021,0.0911,0.3918,0.0635,0.3799,0.09,0.2717,0.0792,0.356,0.0786,0.4138,0.0719,0.2553,0.0765,0.2332,0.0761,0.2036,0.0682,0.2137,0.0969,0.4641,0.0842
