0.002559,0.002643,-0.001222,-0.000868,0.006754,0.006839,-0.002843,-0.002878,0.002023,0.002108,0.000581,0.000881,-0.000683,-0.000533,0.000132,-0.000047,0.000082,0.000341,-0.001955,-0.002396
0.002643,0.003110,-0.001659,-0.001320,0.008051,0.008291,-0.002295,-0.002222,0.002503,0.002658,0.000377,0.000647,-0.000466,-0.000323,-0.000169,-0.000297,-0.000573,-0.000219,-0.005347,-0.005677
-0.001222,-0.001659,0.003057,0.002887,-0.001513,-0.001656,-0.005367,-0.005330,-0.004765,-0.004643,-0.001363,-0.001238,-0.001336,-0.001366,-0.000848,-0.000798,0.001271,0.001496,0.006948,0.007402
-0.000868,-0.001320,0.002887,0.002938,-0.001826,-0.002053,-0.005448,-0.005370,-0.003418,-0.003368,-0.001410,-0.001258,-0.001248,-0.001081,-0.000998,-0.000939,0.001250,0.001391,0.007619,0.007930
0.006754,0.008051,-0.001513,-0.001826,0.072265,0.074254,-0.028188,-0.028174,-0.004978,-0.004442,-0.004700,-0.004137,-0.008604,-0.009086,-0.003165,-0.003514,0.001556,0.002952,-0.034195,-0.035477
0.006839,0.008291,-0.001656,-0.002053,0.074254,0.076514,-0.029745,-0.029653,-0.005398,-0.004724,-0.004716,-0.004134,-0.008495,-0.008987,-0.003012,-0.003420,0.001557,0.003042,-0.038009,-0.039014
-0.002843,-0.002295,-0.005367,-0.005448,-0.028188,-0.029745,0.080723,0.079857,0.022584,0.020774,0.005533,0.003944,0.010034,0.007331,-0.000579,0.000480,-0.002733,-0.006622,-0.015961,-0.017030
-0.002878,-0.002222,-0.005330,-0.005370,-0.028174,-0.029653,0.079857,0.079089,0.022606,0.020836,0.005365,0.003781,0.009966,0.007359,-0.000592,0.000451,-0.002867,-0.006752,-0.016881,-0.017848
0.002023,0.002503,-0.004765,-0.003418,-0.004978,-0.005398,0.022584,0.022606,0.018368,0.017486,0.001589,0.001152,0.005910,0.006382,-0.001332,-0.000747,-0.001629,-0.003176,-0.008636,-0.009518
0.002108,0.002658,-0.004643,-0.003368,-0.004442,-0.004724,0.020774,0.020836,0.017486,0.016741,0.001589,0.001214,0.005861,0.006318,-0.001250,-0.000707,-0.001617,-0.002987,-0.009514,-0.010180
0.000581,0.000377,-0.001363,-0.001410,-0.004700,-0.004716,0.005533,0.005365,0.001589,0.001589,0.002175,0.002203,0.000937,0.000760,0.001856,0.001536,0.000196,-0.000071,-0.003057,-0.003122
0.000881,0.000647,-0.001238,-0.001258,-0.004137,-0.004134,0.003944,0.003781,0.001152,0.001214,0.002203,0.002314,0.000683,0.000552,0.001903,0.001525,0.000341,0.000192,-0.002787,-0.002834
-0.000683,-0.000466,-0.001336,-0.001248,-0.008604,-0.008495,0.010034,0.009966,0.005910,0.005861,0.000937,0.000683,0.005442,0.005341,-0.000935,-0.000451,-0.000609,-0.000830,-0.004865,-0.004031
-0.000533,-0.000323,-0.001366,-0.001081,-0.009086,-0.008987,0.007331,0.007359,0.006382,0.006318,0.000760,0.000552,0.005341,0.005595,-0.000879,-0.000468,-0.000589,-0.000805,-0.004983,-0.004202
0.000132,-0.000169,-0.000848,-0.000998,-0.003165,-0.003012,-0.000579,-0.000592,-0.001332,-0.001250,0.001856,0.001903,-0.000935,-0.000879,0.002938,0.002324,0.000490,0.000192,-0.003229,-0.003312
-0.000047,-0.000297,-0.000798,-0.000939,-0.003514,-0.003420,0.000480,0.000451,-0.000747,-0.000707,0.001536,0.001525,-0.000451,-0.000468,0.002324,0.001918,0.000221,-0.000049,-0.001000,-0.001059
0.000082,-0.000573,0.001271,0.001250,0.001556,0.001557,-0.002733,-0.002867,-0.001629,-0.001617,0.000196,0.000341,-0.000609,-0.000589,0.000490,0.000221,0.001958,0.001804,-0.000873,-0.000744
0.000341,-0.000219,0.001496,0.001391,0.002952,0.003042,-0.006622,-0.006752,-0.003176,-0.002987,-0.000071,0.000192,-0.000830,-0.000805,0.000192,-0.000049,0.001804,0.002092,0.000481,0.000757
-0.001955,-0.005347,0.006948,0.007619,-0.034195,-0.038009,-0.015961,-0.016881,-0.008636,-0.009514,-0.003057,-0.002787,-0.004865,-0.004983,-0.003229,-0.001000,-0.000873,0.000481,0.123358,0.120739
-0.002396,-0.005677,0.007402,0.007930,-0.035477,-0.039014,-0.017030,-0.017848,-0.009518,-0.010180,-0.003122,-0.002834,-0.004031,-0.004202,-0.003312,-0.001059,-0.000744,0.000757,0.120739,0.118780

