0.016752,0.000274,0.001018,0.018616,0.013589,0.002373,0.001414,0.001314,0.001766,0.006777
0.000274,0.000711,-0.000081,0.002357,-0.000451,0.000293,0.000197,0.000178,-0.000290,-0.000153
0.001018,-0.000081,0.000232,0.000533,0.000877,0.000163,0.000421,0.000142,0.002018,0.000624
0.018616,0.002357,0.000533,0.049812,0.013543,0.003091,-0.003722,-0.000548,-0.011171,0.008675
0.013589,-0.000451,0.000877,0.013543,0.029413,0.001809,-0.001004,0.001880,0.008107,0.004912
0.002373,0.000293,0.000163,0.003091,0.001809,0.000614,0.000659,0.000177,0.001561,0.001000
0.001414,0.000197,0.000421,-0.003722,-0.001004,0.000659,0.003213,0.000376,0.006927,0.000228
0.001314,0.000178,0.000142,-0.000548,0.001880,0.000177,0.000376,0.000711,0.002009,0.000388
0.001766,-0.000290,0.002018,-0.011171,0.008107,0.001561,0.006927,0.002009,0.049372,0.002448
0.006777,-0.000153,0.000624,0.008675,0.004912,0.001000,0.000228,0.000388,0.002448,0.003699

