0.1364,0.0457,0.0531,0.2919,0.3431,0.1238,0.1175,0.0397,0.1438,0.3635
0.1406,0.0650,0.1700,1.1276,0.8978,0.1508,0.0713,0.0320,0.2668,0.1714
0.1651,0.0539,0.0354,0.4607,0.3130,0.1151,0.0764,0.0552,0.2541,0.1693
0.2060,0.0533,0.0631,0.4119,0.3849,0.1257,0.0597,0.0180,0.1085,0.2026
0.2530,0.0515,0.0760,0.3789,0.3527,0.1106,0.0838,-0.0559,0.3246,0.2229
0.3844,0.0206,0.0869,0.6827,0.3390,0.1228,0.0735,0.0394,0.1335,0.1440
0.2504,0.0365,0.0615,0.2346,0.3727,0.1294,0.0489,0.0093,0.1114,0.1432
0.2691,0.0275,0.0995,0.1955,0.3745,0.1246,0.0473,0.0214,0.1061,0.1450
0.1699,0.0225,0.0887,0.2145,0.3761,0.1288,0.0758,-0.0074,0.1095,0.1337
0.2039,0.0541,0.0726,0.2531,0.3326,0.1188,0.0510,0.0217,0.1095,0.1208
