0.2676,0.2513,0.1727,0.9083,0.7884,0.5809,0.1028,0.2020,0.3410,0.4084
0.2504,0.1539,0.1093,1.0793,0.6205,0.2867,0.1751,0.2833,0.4204,0.6852
0.5784,0.1576,0.1718,0.8624,0.3930,0.3064,0.1637,0.2328,0.3763,0.4103
1.6049,0.2096,0.2149,0.2808,0.5190,0.2440,0.1683,0.1582,0.2961,0.5493
0.2990,0.1465,0.1183,1.2933,0.5100,0.3033,0.4664,0.1985,0.5030,0.3609
0.3670,0.0948,0.1397,0.6452,0.4321,0.2458,0.1450,0.2070,0.3238,0.4689
0.2552,0.3054,0.3840,0.8424,0.4699,0.2250,0.1477,0.1555,0.3887,0.3915
0.6507,0.2753,0.3927,0.5972,0.3838,0.2041,0.1299,0.5747,0.2325,0.6156
0.6156,0.1971,0.1280,0.6582,0.6416,0.2012,0.1033,0.2321,0.3742,0.4298
0.2601,0.1336,0.1367,0.6410,0.4408,0.2011,0.2459,0.2315,0.3117,0.5815
