0.000580,0.000069,0.000140,0.000060,-0.000000,0.000005,0.000031,0.000022,0.000059,0.000422,-0.000507
0.000069,0.000775,0.000197,0.000183,0.000039,0.000071,0.000155,-0.000283,0.000068,0.000186,-0.000057
0.000140,0.000197,0.000199,0.000112,-0.000036,0.000048,-0.000118,-0.000021,-0.000006,-0.000087,-0.000342
0.000060,0.000183,0.000112,0.000502,0.000109,0.000299,-0.000065,0.000212,0.000105,0.000130,-0.000287
-0.000000,0.000039,-0.000036,0.000109,0.000261,0.000233,0.000183,0.000032,0.000109,0.000103,0.000238
0.000005,0.000071,0.000048,0.000299,0.000233,0.000506,-0.000007,-0.000035,0.000065,0.000196,-0.000221
0.000031,0.000155,-0.000118,-0.000065,0.000183,-0.000007,0.000452,0.000038,0.000099,0.000348,0.000614
0.000022,-0.000283,-0.000021,0.000212,0.000032,-0.000035,0.000038,0.000555,0.000031,-0.000024,0.000138
0.000059,0.000068,-0.000006,0.000105,0.000109,0.000065,0.000099,0.000031,0.000215,0.000018,0.000322
0.000422,0.000186,-0.000087,0.000130,0.000103,0.000196,0.000348,-0.000024,0.000018,0.001398,-0.000202
-0.000507,-0.000057,-0.000342,-0.000287,0.000238,-0.000221,0.000614,0.000138,0.000322,-0.000202,0.001967

