0.0729,0.1254,0.0853,0.1206,0.0660,0.1124,0.1000,0.1840,0.0747,0.0866,0.0797
0.0721,0.1077,0.0752,0.1512,0.1114,0.1473,0.0971,0.1570,0.0982,0.0560,0.1074
0.0631,0.1362,0.0792,0.1293,0.1045,0.1325,0.0884,0.1787,0.0483,0.0634,0.0871
0.1040,0.1288,0.0977,0.1143,0.1066,0.1135,0.1082,0.1399,0.0803,0.0916,0.1388
0.0837,0.1090,0.0924,0.0905,0.1027,0.1111,0.0882,0.1280,0.0869,0.1241,0.0958
0.0950,0.1502,0.0787,0.1312,0.1349,0.1642,0.0871,0.1219,0.0758,0.0663,0.1085
0.0961,0.1103,0.1278,0.1230,0.1367,0.1381,0.0998,0.1304,0.0536,0.0700,0.0826
0.0876,0.1288,0.1053,0.1304,0.1206,0.1518,0.1069,0.1154,0.0541,0.0797,0.0845
0.0584,0.1307,0.0760,0.1444,0.1035,0.1085,0.0898,0.1373,0.0370,0.0932,0.1185
0.0774,0.1317,0.0929,0.1217,0.1143,0.1252,0.0795,0.1518,0.0771,0.0884,0.0966
