0.0679,0.0486,0.0520,0.0525,0.0623,0.0523,0.0768,0.0607,0.0642,0.0578,0.0626
0.0781,0.0531,0.0523,0.0694,0.0615,0.0821,0.0607,0.0642,0.0552,0.0565,0.0671
0.0729,0.0547,0.0449,0.0628,0.0562,0.0623,0.0626,0.0610,0.0723,0.0626,0.0671
0.0686,0.0465,0.0481,0.0512,0.0626,0.0620,0.0623,0.0747,0.0605,0.0565,0.0660
0.0665,0.0475,0.0401,0.0555,0.0568,0.0618,0.0599,0.0652,0.0636,0.0610,0.0515
0.0742,0.0449,0.0510,0.0565,0.0578,0.0591,0.0602,0.0454,0.0504,0.0605,0.0642
0.0694,0.0394,0.0502,0.0560,0.0663,0.0568,0.0565,0.0639,0.0504,0.0602,0.0573
0.0652,0.0412,0.0425,0.0462,0.0623,0.0618,0.0541,0.0623,0.0512,0.0663,0.0650
0.0681,0.0452,0.0438,0.0531,0.0599,0.0557,0.0584,0.0555,0.0581,0.0663,0.0705
0.0631,0.0499,0.0481,0.0486,0.0597,0.0628,0.0618,0.0710,0.0483,0.0697,0.0610
